corrida,gpi,config,partidas,vitoria_pct,media_movel_5_pct
gpi2000,2000,antiga,7800000,65.38,65.2484
gpi2000,2000,antiga,7900000,65.106,65.226
gpi2000,2000,antiga,8000000,65.11,65.2144
gpi2000,2000,antiga,8100000,65.218,65.2256
gpi2000,2000,antiga,8200000,65.235,65.2098
gpi2000,2000,antiga,8300000,65.466,65.227
gpi2000,2000,antiga,8400000,65.57,65.3198
gpi2000,2000,antiga,8500000,65.434,65.3846
gpi2000,2000,antiga,8600000,65.453,65.4316
gpi2000,2000,antiga,8700000,65.342,65.453
gpi2000,2000,antiga,8800000,65.265,65.4128
gpi2000,2000,antiga,8900000,65.01,65.3008
gpi2000,2000,antiga,9000000,65.256,65.2652
gpi2000,2000,antiga,9100000,65.352,65.245
gpi2000,2000,antiga,9200000,65.169,65.2104
gpi2000,2000,antiga,9300000,64.923,65.142
gpi2000,2000,antiga,9400000,65.473,65.2346
gpi2000,2000,antiga,9500000,65.228,65.229
gpi2000,2000,antiga,9600000,65.333,65.2252
gpi2000,2000,antiga,9700000,65.329,65.2572
gpi2000,2000,antiga,9800000,65.162,65.305
gpi2000,2000,antiga,9900000,65.191,65.2486
gpi2000,2000,antiga,10000000,65.332,65.2694
gpi2000,2000,antiga,10100000,65.074,65.2176
gpi2000,2000,antiga,10200000,65.222,65.1962
gpi2000,2000,antiga,10300000,65.299,65.2236
gpi2000,2000,antiga,10400000,65.166,65.2186
gpi2000,2000,antiga,10500000,65.243,65.2008
gpi2000,2000,antiga,10600000,65.425,65.271
gpi2000,2000,antiga,10700000,65.341,65.2948
gpi2000,2000,antiga,10800000,65.498,65.3346
gpi2000,2000,antiga,10900000,65.328,65.367
gpi2000,2000,antiga,11000000,65.442,65.4068
gpi2000,2000,antiga,11100000,65.269,65.3756
gpi2000,2000,antiga,11200000,65.341,65.3756
gpi2000,2000,antiga,11300000,65.071,65.2902
gpi2000,2000,antiga,11400000,65.374,65.2994
gpi2000,2000,antiga,11500000,65.308,65.2726
gpi2000,2000,antiga,11600000,65.475,65.3138
gpi2000,2000,antiga,11700000,65.528,65.3512
gpi2000,2000,antiga,11800000,65.592,65.4554
gpi2000,2000,antiga,11900000,65.527,65.486
gpi2000,2000,antiga,12000000,65.318,65.488
gpi2000,2000,antiga,12100000,65.283,65.4496
gpi2000,2000,antiga,12200000,65.594,65.4628
gpi2000,2000,antiga,12300000,65.404,65.4252
gpi2000,2000,antiga,12400000,65.492,65.4182
gpi2000,2000,antiga,12500000,65.467,65.448
gpi2000,2000,antiga,12600000,65.482,65.4878
gpi2000,2000,antiga,12700000,65.276,65.4242
gpi2000,2000,antiga,12800000,65.209,65.3852
gpi2000,2000,antiga,12900000,65.458,65.3784
gpi2000,2000,antiga,13000000,65.438,65.3726
gpi2000,2000,antiga,13100000,65.282,65.3326
gpi2000,2000,antiga,13200000,65.232,65.3238
gpi2000,2000,antiga,13300000,65.328,65.3476
